asset_key,display_name,source_title,source_kind,source_page_url,source_image_url,official_cdn_url,local_path,image_format,mime,width,height,bytes,sha256,duplicate_of,status,error
PlayerBoy,Aether,File:Aether Side Icon.png,official_cdn,https://genshin-impact.fandom.com/wiki/File:Aether_Side_Icon.png,https://upload-bbs.mihoyo.com/game_record/genshin/character_side_icon/UI_AvatarIcon_Side_PlayerBoy.png,https://upload-bbs.mihoyo.com/game_record/genshin/character_side_icon/UI_AvatarIcon_Side_PlayerBoy.png,Characters/Side/UI_AvatarIcon_Side_PlayerBoy.png,PNG,image/png,128,128,16092,05dbe0d5436c613ae0c8b7e3ee1537dd8d7837beb5d062d19a059d6ce70b1b23,,success,
Aino,Aino,File:Aino Side Icon.png,fandom_mirror,https://genshin-impact.fandom.com/wiki/File:Aino_Side_Icon.png,https://static.wikia.nocookie.net/gensin-impact/images/c/c4/Aino_Side_Icon.png/revision/latest?cb=20250910025406&format=original,https://upload-bbs.mihoyo.com/game_record/genshin/character_side_icon/UI_AvatarIcon_Side_Aino.png,Characters/Side/UI_AvatarIcon_Side_Aino.png,PNG,image/png,128,128,14477,945f5ba01857c8043daf9e37328a59ef8dad174e088fbce3a357b442250701e3,,success,
Albedo,Albedo,File:Albedo Side Icon.png,official_cdn,https://genshin-impact.fandom.com/wiki/File:Albedo_Side_Icon.png,https://upload-bbs.mihoyo.com/game_record/genshin/character_side_icon/UI_AvatarIcon_Side_Albedo.png,https://upload-bbs.mihoyo.com/game_record/genshin/character_side_icon/UI_AvatarIcon_Side_Albedo.png,Characters/Side/UI_AvatarIcon_Side_Albedo.png,PNG,image/png,128,128,31812,914f9580a73c52c6e157b8cbb2c77312f8f2908afb108e9f8d31246b4c97a62c,,success,
Alhaitham,Alhaitham,File:Alhaitham Side Icon.png,fandom_mirror,https://genshin-impact.fandom.com/wiki/File:Alhaitham_Side_Icon.png,https://static.wikia.nocookie.net/gensin-impact/images/c/cb/Alhaitham_Side_Icon.png/revision/latest?cb=20230118023214&format=original,https://upload-bbs.mihoyo.com/game_record/genshin/character_side_icon/UI_AvatarIcon_Side_Alhaitham.png,Characters/Side/UI_AvatarIcon_Side_Alhaitham.png,PNG,image/png,128,128,16331,85042719add21be0d685ca61c9f83e268a4f58e612aaad5e9f144037f9f86d7a,,success,
Aloy,Aloy,File:Aloy Side Icon.png,official_cdn,https://genshin-impact.fandom.com/wiki/File:Aloy_Side_Icon.png,https://upload-bbs.mihoyo.com/game_record/genshin/character_side_icon/UI_AvatarIcon_Side_Aloy.png,https://upload-bbs.mihoyo.com/game_record/genshin/character_side_icon/UI_AvatarIcon_Side_Aloy.png,Characters/Side/UI_AvatarIcon_Side_Aloy.png,PNG,image/png,128,128,18661,b69618381e907a288b5d11f1a79655d048687e81557dde1f9d29885d6fa459b1,,success,
Alyosha,Alyosha,File:Alyosha Side Icon.png,fandom_mirror,https://genshin-impact.fandom.com/wiki/File:Alyosha_Side_Icon.png,https://static.wikia.nocookie.net/gensin-impact/images/f/fb/Alyosha_Side_Icon.png/revision/latest?cb=20260812034114&format=original,https://upload-bbs.mihoyo.com/game_record/genshin/character_side_icon/UI_AvatarIcon_Side_Alyosha.png,Characters/Side/UI_AvatarIcon_Side_Alyosha.png,PNG,image/png,128,128,12798,d5910a5c190ec5560263d7ba5d722b37843934e8f895ea6a9aa9d90d02a35bda,,success,
Amber,Amber,File:Amber Side Icon.png,fandom_mirror,https://genshin-impact.fandom.com/wiki/File:Amber_Side_Icon.png,https://static.wikia.nocookie.net/gensin-impact/images/0/07/Amber_Side_Icon.png/revision/latest?cb=20230402145552&format=original,https://upload-bbs.mihoyo.com/game_record/genshin/character_side_icon/UI_AvatarIcon_Side_Amber.png,Characters/Side/UI_AvatarIcon_Side_Amber.png,PNG,image/png,128,128,13612,ddb68e2a17808909f981bc92b7420ba3c327bb492ad0c2cbb74083f269e65760,,success,
Itto,Arataki Itto,File:Arataki Itto Side Icon.png,official_cdn,https://genshin-impact.fandom.com/wiki/File:Arataki_Itto_Side_Icon.png,https://upload-bbs.mihoyo.com/game_record/genshin/character_side_icon/UI_AvatarIcon_Side_Itto.png,https://upload-bbs.mihoyo.com/game_record/genshin/character_side_icon/UI_AvatarIcon_Side_Itto.png,Characters/Side/UI_AvatarIcon_Side_Itto.png,PNG,image/png,128,128,21529,6d07fd8e79d2be22bdbd572a7c13eaff87644bd975f6d89fc061a57f7899684f,,success,
Arlecchino,Arlecchino,File:Arlecchino Side Icon.png,fandom_mirror,https://genshin-impact.fandom.com/wiki/File:Arlecchino_Side_Icon.png,https://static.wikia.nocookie.net/gensin-impact/images/2/2b/Arlecchino_Side_Icon.png/revision/latest?cb=20240424055928&format=original,https://upload-bbs.mihoyo.com/game_record/genshin/character_side_icon/UI_AvatarIcon_Side_Arlecchino.png,Characters/Side/UI_AvatarIcon_Side_Arlecchino.png,PNG,image/png,128,128,13991,43255f3d3c45657267061c30899f99230eda2c6ed3ca2040f35a01f56c64f78d,,success,
PlayerBoyCostumeCWXR,As Heaven and Earth Are Made Anew (Aether),File:As Heaven and Earth Are Made Anew (Aether) Side Icon.png,fandom_mirror,https://genshin-impact.fandom.com/wiki/File:As_Heaven_and_Earth_Are_Made_Anew_(Aether)_Side_Icon.png,https://static.wikia.nocookie.net/gensin-impact/images/b/bd/As_Heaven_and_Earth_Are_Made_Anew_%28Aether%29_Side_Icon.png/revision/latest?cb=20260114091740&format=original,https://upload-bbs.mihoyo.com/game_record/genshin/character_side_icon/UI_AvatarIcon_Side_PlayerBoyCostumeCWXR.png,Characters/Side/UI_AvatarIcon_Side_PlayerBoyCostumeCWXR.png,PNG,image/png,128,128,14348,e6fb0d8b76c80cf62ae93f3b6435fe86a1bf3dee3318e043dc66e557ab9eff0a,,success,
PlayerGirlCostumeCWXR,As Heaven and Earth Are Made Anew (Lumine),File:As Heaven and Earth Are Made Anew (Lumine) Side Icon.png,fandom_mirror,https://genshin-impact.fandom.com/wiki/File:As_Heaven_and_Earth_Are_Made_Anew_(Lumine)_Side_Icon.png,https://static.wikia.nocookie.net/gensin-impact/images/c/cb/As_Heaven_and_Earth_Are_Made_Anew_%28Lumine%29_Side_Icon.png/revision/latest?cb=20260114091801&format=original,https://upload-bbs.mihoyo.com/game_record/genshin/character_side_icon/UI_AvatarIcon_Side_PlayerGirlCostumeCWXR.png,Characters/Side/UI_AvatarIcon_Side_PlayerGirlCostumeCWXR.png,PNG,image/png,128,128,13120,e0aa6747ec8c8e6429953060f1c9a7445720c79d0cf5ea912b8c0514a2d1a855,,success,
Baizhu,Baizhu,File:Baizhu Side Icon.png,fandom_mirror,https://genshin-impact.fandom.com/wiki/File:Baizhu_Side_Icon.png,https://static.wikia.nocookie.net/gensin-impact/images/f/f9/Baizhu_Side_Icon.png/revision/latest?cb=20230412091859&format=original,https://upload-bbs.mihoyo.com/game_record/genshin/character_side_icon/UI_AvatarIcon_Side_Baizhu.png,Characters/Side/UI_AvatarIcon_Side_Baizhu.png,PNG,image/png,128,128,16362,a67d3d220952d879bcb36a84b6911f890ee76e47293a5fd030c116313c27bc75,,success,
Barbara,Barbara,File:Barbara Side Icon.png,official_cdn,https://genshin-impact.fandom.com/wiki/File:Barbara_Side_Icon.png,https://upload-bbs.mihoyo.com/game_record/genshin/character_side_icon/UI_AvatarIcon_Side_Barbara.png,https://upload-bbs.mihoyo.com/game_record/genshin/character_side_icon/UI_AvatarIcon_Side_Barbara.png,Characters/Side/UI_AvatarIcon_Side_Barbara.png,PNG,image/png,128,128,18135,6bdcfe167b7e896d004e1eaa9f4e63c4706b6f44c8cc9d390c1d44a28b695eba,,success,
Beidou,Beidou,File:Beidou Side Icon.png,official_cdn,https://genshin-impact.fandom.com/wiki/File:Beidou_Side_Icon.png,https://upload-bbs.mihoyo.com/game_record/genshin/character_side_icon/UI_AvatarIcon_Side_Beidou.png,https://upload-bbs.mihoyo.com/game_record/genshin/character_side_icon/UI_AvatarIcon_Side_Beidou.png,Characters/Side/UI_AvatarIcon_Side_Beidou.png,PNG,image/png,128,128,17207,cdb33ed7b832e8bc04bba44cd9986082109afae4789b6fdb16a35fb03ee3cb91,,success,
Bennett,Bennett,File:Bennett Side Icon.png,official_cdn,https://genshin-impact.fandom.com/wiki/File:Bennett_Side_Icon.png,https://upload-bbs.mihoyo.com/game_record/genshin/character_side_icon/UI_AvatarIcon_Side_Bennett.png,https://upload-bbs.mihoyo.com/game_record/genshin/character_side_icon/UI_AvatarIcon_Side_Bennett.png,Characters/Side/UI_AvatarIcon_Side_Bennett.png,PNG,image/png,128,128,18852,2e0194a6f921475ce3e0f71c8b491100a62ac54db27f05ad38d6e8ef96281cd3,,success,
Candace,Candace,File:Candace Side Icon.png,official_cdn,https://genshin-impact.fandom.com/wiki/File:Candace_Side_Icon.png,https://upload-bbs.mihoyo.com/game_record/genshin/character_side_icon/UI_AvatarIcon_Side_Candace.png,https://upload-bbs.mihoyo.com/game_record/genshin/character_side_icon/UI_AvatarIcon_Side_Candace.png,Characters/Side/UI_AvatarIcon_Side_Candace.png,PNG,image/png,128,128,19240,5cf6866ae12c2eaaaf181f51cdcadae6fce1b898b28d590d8873c1153da006d7,,success,
Charlotte,Charlotte,File:Charlotte Side Icon.png,fandom_mirror,https://genshin-impact.fandom.com/wiki/File:Charlotte_Side_Icon.png,https://static.wikia.nocookie.net/gensin-impact/images/8/81/Charlotte_Side_Icon.png/revision/latest?cb=20231108031434&format=original,https://upload-bbs.mihoyo.com/game_record/genshin/character_side_icon/UI_AvatarIcon_Side_Charlotte.png,Characters/Side/UI_AvatarIcon_Side_Charlotte.png,PNG,image/png,128,128,12427,51fea0dbd6b5c7e8228a1de0c35d748d66db5b2cc8fd6bcf9f29245c93296807,,success,
Chasca,Chasca,File:Chasca Side Icon.png,fandom_mirror,https://genshin-impact.fandom.com/wiki/File:Chasca_Side_Icon.png,https://static.wikia.nocookie.net/gensin-impact/images/5/51/Chasca_Side_Icon.png/revision/latest?cb=20241120030520&format=original,https://upload-bbs.mihoyo.com/game_record/genshin/character_side_icon/UI_AvatarIcon_Side_Chasca.png,Characters/Side/UI_AvatarIcon_Side_Chasca.png,PNG,image/png,128,128,17517,b9d90412e2bf5b38d1cfa7d40faa8d9180e2a69f4f1a8c228f8255606fb623eb,,success,
Chevreuse,Chevreuse,File:Chevreuse Side Icon.png,fandom_mirror,https://genshin-impact.fandom.com/wiki/File:Chevreuse_Side_Icon.png,https://static.wikia.nocookie.net/gensin-impact/images/5/50/Chevreuse_Side_Icon.png/revision/latest?cb=20240109210133&format=original,https://upload-bbs.mihoyo.com/game_record/genshin/character_side_icon/UI_AvatarIcon_Side_Chevreuse.png,Characters/Side/UI_AvatarIcon_Side_Chevreuse.png,PNG,image/png,128,128,21535,57ac78138370623fdd96864e72e6c36a8a59525dde9c42dfc0cdd8a855abd235,,success,
Chiori,Chiori,File:Chiori Side Icon.png,fandom_mirror,https://genshin-impact.fandom.com/wiki/File:Chiori_Side_Icon.png,https://static.wikia.nocookie.net/gensin-impact/images/8/80/Chiori_Side_Icon.png/revision/latest?cb=20240313015956&format=original,https://upload-bbs.mihoyo.com/game_record/genshin/character_side_icon/UI_AvatarIcon_Side_Chiori.png,Characters/Side/UI_AvatarIcon_Side_Chiori.png,PNG,image/png,128,128,13975,7717a1c655d0ceb3a862e0b8efd907b3674661b096fc823ad4d28e16aeef8f23,,success,
Chongyun,Chongyun,File:Chongyun Side Icon.png,official_cdn,https://genshin-impact.fandom.com/wiki/File:Chongyun_Side_Icon.png,https://upload-bbs.mihoyo.com/game_record/genshin/character_side_icon/UI_AvatarIcon_Side_Chongyun.png,https://upload-bbs.mihoyo.com/game_record/genshin/character_side_icon/UI_AvatarIcon_Side_Chongyun.png,Characters/Side/UI_AvatarIcon_Side_Chongyun.png,PNG,image/png,128,128,17335,20883f2d9455b22c5ac87860dd802bfc053c561d4372b773b566b98f66208774,,success,
Citlali,Citlali,File:Citlali Side Icon.png,fandom_mirror,https://genshin-impact.fandom.com/wiki/File:Citlali_Side_Icon.png,https://static.wikia.nocookie.net/gensin-impact/images/a/ae/Citlali_Side_Icon.png/revision/latest?cb=20250101131143&format=original,https://upload-bbs.mihoyo.com/game_record/genshin/character_side_icon/UI_AvatarIcon_Side_Citlali.png,Characters/Side/UI_AvatarIcon_Side_Citlali.png,PNG,image/png,128,128,15445,74aa39afe3a43f36907f9842914a5ab9961fed85393ce1886a54f2d2da14d01e,,success,
Clorinde,Clorinde,File:Clorinde Side Icon.png,fandom_mirror,https://genshin-impact.fandom.com/wiki/File:Clorinde_Side_Icon.png,https://static.wikia.nocookie.net/gensin-impact/images/9/97/Clorinde_Side_Icon.png/revision/latest?cb=20240605021943&format=original,https://upload-bbs.mihoyo.com/game_record/genshin/character_side_icon/UI_AvatarIcon_Side_Clorinde.png,Characters/Side/UI_AvatarIcon_Side_Clorinde.png,PNG,image/png,128,128,20244,f4d61ee3859220a85a20c0e8b323a2736d9f59fe760308ed8e04c234437b4aa0,,success,
Collei,Collei,File:Collei Side Icon.png,official_cdn,https://genshin-impact.fandom.com/wiki/File:Collei_Side_Icon.png,https://upload-bbs.mihoyo.com/game_record/genshin/character_side_icon/UI_AvatarIcon_Side_Collei.png,https://upload-bbs.mihoyo.com/game_record/genshin/character_side_icon/UI_AvatarIcon_Side_Collei.png,Characters/Side/UI_AvatarIcon_Side_Collei.png,PNG,image/png,128,128,18501,f9d410754d0ce4703e1536aafa76c8ab4ce9b06e577b6ae7020749a4fa501ea7,,success,
Columbina,Columbina,File:Columbina Side Icon.png,fandom_mirror,https://genshin-impact.fandom.com/wiki/File:Columbina_Side_Icon.png,https://static.wikia.nocookie.net/gensin-impact/images/a/a3/Columbina_Side_Icon.png/revision/latest?cb=20251022065521&format=original,https://upload-bbs.mihoyo.com/game_record/genshin/character_side_icon/UI_AvatarIcon_Side_Columbina.png,Characters/Side/UI_AvatarIcon_Side_Columbina.png,PNG,image/png,128,128,17293,a0e49e0b6c7d60b08875e913342ba519870df4059fab83a00807110150bd0d01,,success,
Cyno,Cyno,File:Cyno Side Icon.png,official_cdn,https://genshin-impact.fandom.com/wiki/File:Cyno_Side_Icon.png,https://upload-bbs.mihoyo.com/game_record/genshin/character_side_icon/UI_AvatarIcon_Side_Cyno.png,https://upload-bbs.mihoyo.com/game_record/genshin/character_side_icon/UI_AvatarIcon_Side_Cyno.png,Characters/Side/UI_AvatarIcon_Side_Cyno.png,PNG,image/png,128,128,27023,11ed4e95ba7fa90c901a7297f999d651887d099f1995cfab7a33a95da8e65a7c,,success,
Dahlia,Dahlia,File:Dahlia Side Icon.png,fandom_mirror,https://genshin-impact.fandom.com/wiki/File:Dahlia_Side_Icon.png,https://static.wikia.nocookie.net/gensin-impact/images/3/3f/Dahlia_Side_Icon.png/revision/latest?cb=20250618025555&format=original,https://upload-bbs.mihoyo.com/game_record/genshin/character_side_icon/UI_AvatarIcon_Side_Dahlia.png,Characters/Side/UI_AvatarIcon_Side_Dahlia.png,PNG,image/png,128,128,14023,c2e590685e1507e750f9d0fead0524654c8dfcd22d10c16a5d348d0abd8d6d5c,,success,
Dainsleif,Dainsleif,File:Dainsleif Side Icon.png,fandom_mirror,https://genshin-impact.fandom.com/wiki/File:Dainsleif_Side_Icon.png,https://static.wikia.nocookie.net/gensin-impact/images/c/c0/Dainsleif_Side_Icon.png/revision/latest?cb=20250620130631&format=original,https://upload-bbs.mihoyo.com/game_record/genshin/character_side_icon/UI_AvatarIcon_Side_Dainsleif.png,Characters/Side/UI_AvatarIcon_Side_Dainsleif.png,PNG,image/png,128,128,11781,b6d2565dbba0cdecf83204193bbb66f1b48d1284f990211bcc1a33cc3fe48a73,,success,
Dehya,Dehya,File:Dehya Side Icon.png,official_cdn,https://genshin-impact.fandom.com/wiki/File:Dehya_Side_Icon.png,https://upload-bbs.mihoyo.com/game_record/genshin/character_side_icon/UI_AvatarIcon_Side_Dehya.png,https://upload-bbs.mihoyo.com/game_record/genshin/character_side_icon/UI_AvatarIcon_Side_Dehya.png,Characters/Side/UI_AvatarIcon_Side_Dehya.png,PNG,image/png,128,128,20767,2074f565a01dbe830c842e27e30fbf86ca693bea2b2fe8997e4b3a16dfc0aa6c,,success,
Diluc,Diluc,File:Diluc Side Icon.png,official_cdn,https://genshin-impact.fandom.com/wiki/File:Diluc_Side_Icon.png,https://upload-bbs.mihoyo.com/game_record/genshin/character_side_icon/UI_AvatarIcon_Side_Diluc.png,https://upload-bbs.mihoyo.com/game_record/genshin/character_side_icon/UI_AvatarIcon_Side_Diluc.png,Characters/Side/UI_AvatarIcon_Side_Diluc.png,PNG,image/png,128,128,14997,27b45df871bce42ed6576ead90971701a90730290b206f20009aa2ca25e038d1,,success,
Diona,Diona,File:Diona Side Icon.png,official_cdn,https://genshin-impact.fandom.com/wiki/File:Diona_Side_Icon.png,https://upload-bbs.mihoyo.com/game_record/genshin/character_side_icon/UI_AvatarIcon_Side_Diona.png,https://upload-bbs.mihoyo.com/game_record/genshin/character_side_icon/UI_AvatarIcon_Side_Diona.png,Characters/Side/UI_AvatarIcon_Side_Diona.png,PNG,image/png,128,128,20236,e3fb05d5090584822d40399577f0f603d5526d425f2f01005224033362e927fe,,success,
Dori,Dori,File:Dori Side Icon.png,official_cdn,https://genshin-impact.fandom.com/wiki/File:Dori_Side_Icon.png,https://upload-bbs.mihoyo.com/game_record/genshin/character_side_icon/UI_AvatarIcon_Side_Dori.png,https://upload-bbs.mihoyo.com/game_record/genshin/character_side_icon/UI_AvatarIcon_Side_Dori.png,Characters/Side/UI_AvatarIcon_Side_Dori.png,PNG,image/png,128,128,19335,b88e0a56b8cbac6ad52dcb416e73f6770b7a6d720109f024f645bb0bfc71d715,,success,
Durin,Durin,File:Durin Side Icon.png,fandom_mirror,https://genshin-impact.fandom.com/wiki/File:Durin_Side_Icon.png,https://static.wikia.nocookie.net/gensin-impact/images/f/f2/Durin_Side_Icon.png/revision/latest?cb=20251210221543&format=original,https://upload-bbs.mihoyo.com/game_record/genshin/character_side_icon/UI_AvatarIcon_Side_Durin.png,Characters/Side/UI_AvatarIcon_Side_Durin.png,PNG,image/png,128,128,14586,2b692ffeb046d5b7ea198c3ad47fa0d4d8a89a1adc8143fa764e584fa9e5ba7a,,success,
