character_name_zh,catalog_name_zh,hoyowiki_entry_id,hoyowiki_detail_page_url,source_type,source_page_url,source_image_url,local_path,image_format,mime_type,http_content_type,width,height,file_size_bytes,sha256,has_alpha_channel,duplicate_of,status,error
七七,七七,1,https://wiki.hoyolab.com/pc/genshin/entry/1?lang=zh-cn,hoyowiki_detail_header_cover,https://wiki.hoyolab.com/pc/genshin/entry/1?lang=zh-cn,https://bbs.hoyolab.com/hoyowiki/picture/character/七七/avatar.png,Characters/Illustrations/Wish/七七_1.png,PNG,image/png,image/png,1560,1476,468615,a671daa07f4794e0f66f77fd757c791fa53ea8c0e19369bf39b0c92716f0affa,true,,success,
丽莎,丽莎,2,https://wiki.hoyolab.com/pc/genshin/entry/2?lang=zh-cn,hoyowiki_detail_header_cover,https://wiki.hoyolab.com/pc/genshin/entry/2?lang=zh-cn,https://upload-static.hoyoverse.com/hoyolab-wiki/2023/02/23/7998136/64ff2675c8c6e9a14eafe7b6dc73aab4_352026999572546730.png,Characters/Illustrations/Wish/丽莎_2.png,PNG,image/png,image/png,1201,1245,936916,edd7a4d50549cdbe8b034608018420b2b99a3665c245ff3607df35f4a3b2f60e,true,,success,
九条裟罗,九条裟罗,3,https://wiki.hoyolab.com/pc/genshin/entry/3?lang=zh-cn,hoyowiki_detail_header_cover,https://wiki.hoyolab.com/pc/genshin/entry/3?lang=zh-cn,https://bbs.hoyolab.com/hoyowiki/picture/character/九条裟罗/avatar.png,Characters/Illustrations/Wish/九条裟罗_3.png,PNG,image/png,image/png,1638,1379,319331,e09d67a8c0b7bcd7c9573eb7861442d855e083e014875f1dffad4d0b849196cf,true,,success,
云堇,云堇,4,https://wiki.hoyolab.com/pc/genshin/entry/4?lang=zh-cn,hoyowiki_detail_header_cover,https://wiki.hoyolab.com/pc/genshin/entry/4?lang=zh-cn,https://bbs.hoyolab.com/hoyowiki/picture/character/云堇/avatar.png,Characters/Illustrations/Wish/云堇_4.png,PNG,image/png,image/png,1473,1651,342048,98b6f26563b4fd98e0b9a14c68476e57a404db719f81312c206e64c6c09f7f82,true,,success,
五郎,五郎,5,https://wiki.hoyolab.com/pc/genshin/entry/5?lang=zh-cn,hoyowiki_detail_header_cover,https://wiki.hoyolab.com/pc/genshin/entry/5?lang=zh-cn,https://bbs.hoyolab.com/hoyowiki/picture/character/五郎/avatar.png,Characters/Illustrations/Wish/五郎_5.png,PNG,image/png,image/png,1496,1426,273234,208b4c0eb0cef8f22e0d871f7a08ef3df55082cbf3270d17916986f9125d7c1f,true,,success,
优菈,优菈,6,https://wiki.hoyolab.com/pc/genshin/entry/6?lang=zh-cn,hoyowiki_detail_header_cover,https://wiki.hoyolab.com/pc/genshin/entry/6?lang=zh-cn,https://bbs.hoyolab.com/hoyowiki/picture/character/优菈/avatar.png,Characters/Illustrations/Wish/优菈_6.png,PNG,image/png,image/png,1680,1680,504219,9b24160664edc1e278f99d398eb72838d21c9376bc9c7e6a9c03e14a38ed03b7,true,,success,
八重神子,八重神子,7,https://wiki.hoyolab.com/pc/genshin/entry/7?lang=zh-cn,hoyowiki_detail_header_cover,https://wiki.hoyolab.com/pc/genshin/entry/7?lang=zh-cn,https://bbs.hoyolab.com/hoyowiki/picture/character/八重神子/avatar.png,Characters/Illustrations/Wish/八重神子_7.png,PNG,image/png,image/png,1381,1283,482985,13deda0218570325df724cc005e792e2f8795c14ec226b3c7ba588312a12b881,true,,success,
凝光,凝光,8,https://wiki.hoyolab.com/pc/genshin/entry/8?lang=zh-cn,hoyowiki_detail_header_cover,https://wiki.hoyolab.com/pc/genshin/entry/8?lang=zh-cn,https://bbs.hoyolab.com/hoyowiki/picture/character/凝光/avatar.png,Characters/Illustrations/Wish/凝光_8.png,PNG,image/png,image/png,1420,992,244739,a10da987807439bbcf88500e83a36b6fdb8c85159766c71ca57e2e08506ba0ca,true,,success,
凯亚,凯亚,9,https://wiki.hoyolab.com/pc/genshin/entry/9?lang=zh-cn,hoyowiki_detail_header_cover,https://wiki.hoyolab.com/pc/genshin/entry/9?lang=zh-cn,https://act-upload.hoyoverse.com/event-ugc-hoyowiki/2024/11/18/119725280/eaed087aacc9d4f662416504f5f78933_5582298273193578007.png,Characters/Illustrations/Wish/凯亚_9.png,PNG,image/png,image/png,1200,1200,883223,304890a21ff07acdad14d4797e8d39c22b861022cff91396ebb87b9c299933cb,true,,success,
刻晴,刻晴,10,https://wiki.hoyolab.com/pc/genshin/entry/10?lang=zh-cn,hoyowiki_detail_header_cover,https://wiki.hoyolab.com/pc/genshin/entry/10?lang=zh-cn,https://bbs.hoyolab.com/hoyowiki/picture/character/刻晴/avatar.png,Characters/Illustrations/Wish/刻晴_10.png,PNG,image/png,image/png,1516,1376,407746,9ebb6665b7ee3730c0f48e436fc7de5715df03453fc35d2b3ed3547571881b33,true,,success,
